"Flyttningar efter region, ålder, tabellinnehåll och år",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
region,ålder,Flyttningsöverskott 1968,Flyttningsöverskott 1969,Flyttningsöverskott 1970,Flyttningsöverskott 1971,Flyttningsöverskott 1972,Flyttningsöverskott 1973,Flyttningsöverskott 1974,Flyttningsöverskott 1975,Flyttningsöverskott 1976,Flyttningsöverskott 1977,Flyttningsöverskott 1978,Flyttningsöverskott 1979,Flyttningsöverskott 1980,Flyttningsöverskott 1981,Flyttningsöverskott 1982,Flyttningsöverskott 1983,Flyttningsöverskott 1984,Flyttningsöverskott 1985,Flyttningsöverskott 1986,Flyttningsöverskott 1987,Flyttningsöverskott 1988,Flyttningsöverskott 1989,Flyttningsöverskott 1990,Flyttningsöverskott 1991,Flyttningsöverskott 1992,Flyttningsöverskott 1993,Flyttningsöverskott 1994,Flyttningsöverskott 1995,Flyttningsöverskott 1996,Flyttningsöverskott 1997,Flyttningsöverskott 1998,Flyttningsöverskott 1999,Flyttningsöverskott 2000,Flyttningsöverskott 2001,Flyttningsöverskott 2002,Flyttningsöverskott 2003,Flyttningsöverskott 2004,Flyttningsöverskott 2005,Flyttningsöverskott 2006,Flyttningsöverskott 2007,Flyttningsöverskott 2008,Flyttningsöverskott 2009,Flyttningsöverskott 2010,Flyttningsöverskott 2011,Flyttningsöverskott 2012,Flyttningsöverskott 2013,Flyttningsöverskott 2014,Flyttningsöverskott 2015,Flyttningsöverskott 2016,Flyttningsöverskott 2017,Flyttningsöverskott 2018,Flyttningsöverskott 2019,Flyttningsöverskott 2020,Flyttningsöverskott 2021
01 Stockholms län,totalt ålder,9387,19184,17050,121,-8485,-8807,-3029,-336,3399,7758,3849,1640,-350,3947,5605,3543,7349,11325,9412,6756,3783,4210,2828,3856,5375,7510,13003,10350,12964,13641,14907,15155,13809,8798,3642,1432,1763,6879,16958,19761,19558,24547,21129,23778,21892,21447,20843,19615,23940,25794,23255,18883,3522,6633
03 Uppsala län,totalt ålder,1807,2533,2577,1458,1410,1514,813,198,2196,2164,2307,1741,939,1055,1053,277,781,1124,1779,1466,1518,2634,2367,3205,2916,2677,1889,502,-94,562,368,540,1139,1787,1245,869,899,785,777,2247,2488,3407,2521,1465,1958,2267,2158,3790,5669,6212,5996,5742,3573,4972
04 Södermanlands län,totalt ålder,-35,2064,2286,-450,-735,-342,686,829,60,-168,187,-93,465,-255,-517,-356,-450,-649,-286,567,1137,1448,1516,519,538,927,308,-1158,-1100,-47,-6,219,603,1693,2079,1459,840,955,1294,2112,2516,1635,1532,1823,2078,2584,2696,2772,4062,2759,3104,2536,2026,2228
05 Östergötlands län,totalt ålder,1205,2503,3161,-127,-75,-301,-981,455,1979,1340,571,280,205,72,-234,69,679,575,528,116,676,1702,2090,1848,918,1927,3495,286,-722,-1068,-1457,-531,455,1467,1355,1555,1033,275,1314,2567,2080,3363,1719,791,1891,3254,3297,2507,5437,4590,3389,2952,1274,1579
06 Jönköpings län,totalt ålder,801,1975,1183,-1300,-576,-869,311,-545,-315,302,-829,-177,482,-575,-1190,-659,-246,-290,328,799,1049,1610,667,254,-909,214,1040,37,-777,-508,25,-319,963,308,263,664,397,731,1284,1825,1233,290,340,524,763,1503,2318,2825,3920,3783,2759,1721,836,1198
07 Kronobergs län,totalt ålder,667,1819,918,-96,-320,357,59,299,623,587,203,768,1115,397,-245,268,-134,-408,-150,71,1168,835,865,326,-240,434,859,-430,-585,-550,-690,-642,-115,257,465,568,737,230,1068,1061,1244,700,488,504,995,1002,1531,1923,2697,2562,2024,1058,469,495
08 Kalmar län,totalt ålder,-74,452,395,-570,-672,-61,140,498,508,798,268,463,614,-140,93,-128,-324,-737,-146,200,608,1758,1279,584,-172,523,1541,-378,-775,-892,-1142,-657,-300,239,832,1052,361,208,499,686,193,777,261,124,887,690,1974,2331,4901,1390,1296,860,808,1149
09 Gotlands län,totalt ålder,-105,36,-321,-158,23,69,110,164,229,105,186,224,59,173,177,15,98,-76,-29,-6,-33,362,31,114,48,71,422,-97,-7,-95,23,-93,28,269,75,247,303,-66,-88,-88,-51,246,96,112,-6,54,118,269,744,661,757,545,604,901
10 Blekinge län,totalt ålder,-513,1046,768,-36,247,-246,128,-137,-480,-531,-157,-162,-402,-696,-370,-138,-63,-523,-652,-453,120,411,445,397,27,638,1118,-84,-310,179,30,-328,95,20,114,251,488,468,835,590,547,529,724,-100,-438,574,1435,2180,2318,1084,415,33,-279,70
12 Malmöhus län,totalt ålder,5219,7214,8118,3469,938,-592,3454,554,-1348,1524,105,-153,-140,-326,1237,1259,1916,2754,2266,3809,4644,6337,5869,5556,4872,4983,9828,4870,3587,2817,4603,4459,6307,7859,8683,6874,7173,7377,12716,12518,12403,12725,8383,5829,6743,7460,10769,10700,16985,16427,13899,11400,8158,8240
13 Hallands län,totalt ålder,1878,3239,3690,2856,3744,3357,2825,2643,2628,1642,1725,1536,1393,1475,1359,1711,1545,1381,1676,1634,2340,2532,2630,2056,2189,2380,2580,759,384,1178,1004,1078,1445,1487,1685,2425,1986,1699,2398,2102,1721,2700,1942,1858,2019,2299,3339,3615,4994,3985,3990,3645,2439,2837
14 Göteborgs och Bohus län,totalt ålder,1984,6115,7176,743,-6660,-7308,-2762,-543,-1382,-1125,-1596,-1027,-2689,-1643,-1143,-344,1725,2773,4601,2874,1052,3189,1230,-483,2227,4145,7438,4388,4271,860,1772,2629,6004,6413,7273,5675,4975,4826,6996,5877,7650,6904,6127,6178,5746,10265,11971,12201,18087,14142,14595,10529,4827,5260
17 Värmlands län,totalt ålder,-1412,-348,564,-310,-336,-402,374,1232,1047,854,1137,596,170,-70,-332,-148,181,-478,351,966,1660,1584,564,785,331,649,621,-860,-1103,-1021,-1007,-654,-533,-84,471,982,713,465,889,842,265,516,489,-166,750,1257,1101,1597,3632,1141,1334,1107,865,811
18 Örebro län,totalt ålder,-550,1208,1121,-1251,-1614,-1068,-305,200,184,442,264,131,235,-274,-248,-709,-684,-328,-261,-72,856,1166,547,712,303,1121,1115,-327,-255,-185,61,-95,280,101,905,913,411,488,1083,975,1496,1166,1005,1092,1328,2126,2196,2461,3602,3493,2807,1969,574,618
19 Västmanlands län,totalt ålder,-69,2264,1535,-725,-2590,-2452,-1125,-1085,-379,-331,-951,-196,-205,-1116,-765,-864,-1552,-1051,-567,-403,204,832,1141,49,-133,244,334,-985,-1034,-1220,-535,-306,325,1418,1358,1265,979,540,673,734,815,1238,1090,1282,1744,2423,2237,2260,3097,2965,2622,1520,1238,1551
20 Kopparbergs län,totalt ålder,-1686,-958,-1044,-78,140,774,1090,2375,2516,1129,1088,1472,1681,-84,169,-109,-105,-880,-501,391,1307,2113,1921,900,-327,407,920,-790,-1206,-1866,-1296,-1357,-1315,-137,697,747,188,364,601,431,625,1102,925,-204,496,1205,1660,2305,3541,1548,1105,798,70,888
21 Gävleborgs län,totalt ålder,-1456,-931,429,-24,-746,-815,762,1911,849,377,526,480,771,434,-167,-483,-294,-636,-890,-262,436,1247,940,16,-285,763,340,-487,-755,-1292,-1232,-315,-339,-170,-33,734,423,318,337,657,1118,885,708,194,957,1743,2367,2236,2978,1265,895,1009,750,578
22 Västernorrlands län,totalt ålder,-1382,-2259,-187,120,-234,-360,372,637,609,399,178,199,485,-270,-598,-537,-664,-698,-737,-288,-21,476,738,-19,-372,121,-77,-1431,-809,-1222,-1430,-1621,-1390,-838,56,512,588,275,823,15,367,306,76,2,390,695,1349,1310,1980,761,-282,131,-13,38
23 Jämtlands län,totalt ålder,-1473,-2075,-1122,706,466,549,592,688,567,758,613,569,711,416,251,388,20,-311,-459,27,837,618,797,258,-83,286,333,-412,-616,-921,-744,-435,-600,-450,-213,48,163,-50,290,181,99,-48,87,-170,96,506,457,688,1365,1065,503,537,581,909
24 Västerbottens län,totalt ålder,-1768,-1619,-1352,-928,-219,-247,81,869,1052,1109,1055,904,1449,498,-101,-120,-377,-359,-412,6,1248,1748,1065,584,1280,1431,942,303,-588,-791,-938,-749,-799,-676,684,741,949,691,-322,-149,-55,411,447,60,418,681,1053,741,2076,2174,1508,1204,1086,1062
25 Norrbottens län,totalt ålder,-2808,-4638,-2621,-753,-208,477,1090,1629,964,-381,-896,63,-541,-1067,-1812,-1225,-1126,-1814,-1505,-759,57,318,-91,80,409,364,-78,-1705,-1546,-1761,-1443,-1844,-1494,-1107,-558,-241,73,-347,417,-877,-435,-359,-141,312,605,1095,860,84,1102,1068,-350,-92,173,330
